City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Isangel,VU,-19.55,169.2667,84.2,74,90,9.22,overcast clouds
80,Tessalit,ML,20.1986,1.0114,60.75,28,0,10.31,clear sky
81,New Norfolk,AU,-42.7826,147.0587,64.99,36,74,1.99,broken clouds
82,Hermanus,ZA,-34.4187,19.2345,64.0,95,95,13.82,light rain
83,Bhuban,IN,20.8833,85.8333,80.1,33,0,7.09,clear sky
84,Kavieng,PG,-2.5744,150.7967,84.61,75,91,11.21,overcast clouds
85,Ladushkin,RU,54.5703,20.171,33.8,93,75,17.9,rain and snow
86,Myaundzha,RU,63.0494,147.1858,-20.31,85,100,1.21,overcast clouds
87,Nyrob,RU,60.733,56.7202,21.7,97,99,6.33,overcast clouds
88,Fuxin,CN,42.0156,121.6589,23.2,76,71,6.91,broken clouds
89,Gander,CA,48.9682,-54.5906,28.4,93,90,21.85,light snow
90,Ako,JP,34.75,134.4,57.99,54,40,5.75,scattered clouds
91,Barbosa Ferraz,BR,-24.03,-52.0117,69.12,93,89,1.74,overcast clouds
92,Takoradi,GH,4.8845,-1.7554,77.45,88,49,5.55,scattered clouds
93,Botwood,CA,49.1499,-55.3482,28.99,90,100,1.99,light snow
94,Victoria,HK,22.2855,114.1577,71.01,66,15,1.01,few clouds
95,Dikson,RU,73.5069,80.5464,-22.65,86,100,6.55,overcast clouds
96,Birjand,IR,32.8663,59.2211,44.6,12,0,2.15,clear sky
97,Yarada,IN,17.65,83.2667,82.4,61,40,8.05,haze
98,Moate,IE,53.55,-7.7167,46.99,94,90,5.28,overcast clouds
99,Ambilobe,MG,-13.2,49.05,82.87,78,57,2.57,light rain
100,Sibenik,HR,43.7272,15.9058,37.4,44,0,3.44,clear sky
101,Bay Roberts,CA,47.5999,-53.2648,33.01,90,98,5.99,light snow
102,Rosario,AR,-32.9468,-60.6393,75.0,88,0,5.86,light rain
103,Yulara,AU,-25.2406,130.9889,80.6,69,75,16.11,broken clouds
104,Paita,PE,-5.0892,-81.1144,75.06,70,97,8.93,overcast clouds
105,Chhatapur,IN,26.2167,87.0167,71.67,32,0,6.44,clear sky
106,Aranda De Duero,ES,41.6704,-3.6892,50.25,94,100,7.16,overcast clouds
107,Galdar,ES,28.147,-15.6502,64.4,77,75,12.66,broken clouds
108,Maralal,KE,1.0968,36.698,64.89,50,0,8.3,clear sky
109,Daman,IN,20.4167,72.85,78.62,34,10,5.53,clear sky
110,Ngawen,ID,-7.0032,111.3129,79.23,84,98,12.46,overcast clouds
111,Henties Bay,NA,-22.116,14.2845,68.0,87,85,3.62,overcast clouds
112,Ukiah,US,39.1502,-123.2078,35.6,93,90,4.63,moderate rain
113,Busselton,AU,-33.65,115.3333,73.99,44,0,7.0,clear sky
